sled_arg_name,harmonized_name,source,resolved_in_mother
FRENTE COMPROMISO CORRENTINO,ALIANZA FRENTE COMPROMISO CORRENTINO,batch_lookup,True
FRENTE COMPROMISO PARA EL CAMBIO,ALIANZA FRENTE COMPROMISO PARA EL CAMBIO,batch_lookup,True
FRENTE COMPROMISO SOCIAL,FRENTE COMPROMISO SOCIAL,direct_match,
FRENTE CON TODOS,FRENTE CON TODOS,direct_match,
FRENTE CON VOS,FRENTE CON VOS,direct_match,
FRENTE CORRENTINOS POR EL CAMBIO,ALIANZA FRENTE CORRENTINOS POR EL CAMBIO,batch_lookup,True
FRENTE CORRIENTE RENOVADORA,FRENTE CORRIENTE RENOVADORA,direct_match,
FRENTE CORRIENTES DE TODOS,FRENTE CORRIENTES DE TODOS,direct_match,
FRENTE CORRIENTES PODEMOS MAS,ALIANZA FRENTE CORRIENTES PODEMOS MAS,batch_lookup,True
FRENTE CRUZADA Y LEALTAD,FRENTE CRUZADA Y LEALTAD,direct_match,
FRENTE DE INTEGRACION SOCIAL PARA UN CAMBIO EN LIBERTAD,FRENTE DE INTEGRACION SOCIAL PARA UN CAMBIO EN LIBERTAD,direct_match,
FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,direct_match,
FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES - UNIDAD,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES - UNIDAD,direct_match,
FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES UNIDAD,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES UNIDAD,direct_match,
FRENTE DE IZQUIERDA Y DE TRABAJADORES,FRENTE DE IZQUIERDA Y DE TRABAJADORES,direct_match,
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,direct_match,
FRENTE DE IZQUIERDA Y LOS TRABAJADORES,FRENTE DE IZQUIERDA Y LOS TRABAJADORES,direct_match,
FRENTE DE IZQUIERDA – PO–PTS,FRENTE DE IZQUIERDA – PO–PTS,direct_match,
FRENTE DE LA CORRIENTE RENOVADORA,FRENTE DE LA CORRIENTE RENOVADORA,direct_match,
FRENTE DE LA ESPERANZA,FRENTE DE LA ESPERANZA,direct_match,
FRENTE DE LA ESPERANZA PORTEÑA,ALIANZA FRENTE DE LA ESPERANZA PORTEÑA,batch_lookup,True
FRENTE DE LA GENTE,FRENTE DE LA GENTE,direct_match,
FRENTE DE LA UNIDAD,FRENTE DE LA UNIDAD,direct_match,
FRENTE DE LA VICTORIA JUSTICIALISTA,FRENTE DE LA VICTORIA JUSTICIALISTA,direct_match,
FRENTE DE TODOS,FRENTE DE TODOS,direct_match,
FRENTE DE TODOS - JUSTICIALISTA,FRENTE DE TODOS - PARTIDO JUSTICIALISTA,batch_lookup,True
FRENTE DE TODOS NEUQUINO,FRENTE DE TODOS NEUQUINO,direct_match,
FRENTE DE TODOS POR TUCUMAN,FRENTE DE TODOS POR TUCUMÁN,batch_lookup,True
FRENTE DE UNIDAD JUSTICIALISTA,FRENTE DE UNIDAD JUSTICIALISTA,direct_match,
FRENTE DE UNIDAD PROVINCIAL,FRENTE DE UNIDAD PROVINCIAL,direct_match,
FRENTE DE UNION PARA EL CAMBIO,ALIANZA FRENTE DE UNION PARA EL CAMBIO,batch_lookup,True
FRENTE DEL PUEBLO,FRENTE DEL PUEBLO,direct_match,
FRENTE DEL PUEBLO CHILECITEÑO,ALIANZA FRENTE DEL PUEBLO CHILECITEÑO,batch_lookup,True
FRENTE DEL PUEBLO RIOJANO,FRENTE DEL PUEBLO RIOJANO,direct_match,
FRENTE DEMOCRATA-PRO,ALIANZA FRENTE DEMOCRATA-PRO,batch_lookup,True
FRENTE DEPARTAMENTAL FACUNDO QUIROGA,FRENTE DEPARTAMENTAL FACUNDO QUIROGA,direct_match,
FRENTE ENCUENTRO CIVICO POR SANTIAGO,FRENTE ENCUENTRO CIVICO POR SANTIAGO,direct_match,
FRENTE ENCUENTRO POPULAR AGRARIO Y SOCIAL PARA LA VICTORIA,ALIANZA FRENTE ENCUENTRO POPULAR AGRARIO Y SOCIAL PARA LA VICTORIAC,batch_lookup,True
FRENTE ENCUENTRO POR LA RIOJA,FRENTE ENCUENTRO POR LA RIOJA,direct_match,
FRENTE ENTRERRIANO FEDERAL,ALIANZA FRENTE ENTRERRIANO FEDERAL,batch_lookup,True
FRENTE ESPERANZA NUEVA CATAMARCA,ALIANZA FRENTE ESPERANZA NUEVA CATAMARCA,batch_lookup,True
FRENTE FEDERAL,FRENTE FEDERAL,direct_match,
FRENTE FEDERAL CIVICO Y SOCIAL,ALIANZA FRENTE FEDERAL CÍVICO Y SOCIAL,batch_lookup,True
FRENTE FEDERAL SANTACRUCEÑO,ALIANZA FRENTE FEDERAL SANTACRUCEÑO,batch_lookup,True
FRENTE FUNDACIONAL,FRENTE FUNDACIONAL,direct_match,
FRENTE FUNDACIONAL DE TUCUMAN,FRENTE FUNDACIONAL DE TUCUMAN,direct_match,
FRENTE GRANDE,FRENTE GRANDE,direct_match,
FRENTE INTEGRADOR,FRENTE INTEGRADOR,direct_match,
FRENTE INTEGRADOR NEUQUINO,FRENTE INTEGRADOR NEUQUINO,direct_match,
FRENTE IZQUIERDA Y DE TRABAJADORES -UNIDAD,FRENTE DE IZQUIERDA Y TRABAJADORES UNIDAD,batch_lookup,True
FRENTE JUJEÑO,ALIANZA FRENTE JUJEÑO,batch_lookup,True
FRENTE JUNTOS,FRENTE JUNTOS,direct_match,
FRENTE JUNTOS POR EL CAMBIO,FRENTE JUNTOS POR EL CAMBIO,direct_match,
FRENTE JUNTOS POR EL CAMBIO LA PAMPA,FRENTE JUNTOS POR EL CAMBIO LA PAMPA,direct_match,
FRENTE JUNTOS POR JUJUY,FRENTE JUNTOS POR JUJUY,direct_match,
FRENTE JUNTOS POR SAN LUIS,FRENTE JUNTOS POR SAN LUIS,direct_match,
FRENTE JUSTICIALISTA,FRENTE JUSTICIALISTA,direct_match,
FRENTE JUSTICIALISTA BONAERENSE,ALIANZA FRENTE JUSTICIALISTA BONAERENSE,batch_lookup,True
